sensor_id;sensor_type;location;lat;lon;timestamp;P1;P2
55770;HPM;41687;-33.234;-60.334;2021-03-03T03:16:53;44.25;42.25
55770;HPM;41687;-33.234;-60.334;2021-03-03T03:19:40;47.00;45.00
55770;HPM;41687;-33.234;-60.334;2021-03-03T03:22:13;42.50;40.50
55770;HPM;41687;-33.234;-60.334;2021-03-03T03:24:43;72.00;70.00
55770;HPM;41687;-33.234;-60.334;2021-03-03T03:27:11;75.25;73.25
55770;HPM;41687;-33.234;-60.334;2021-03-03T03:29:41;73.50;71.50
55770;HPM;41687;-33.234;-60.334;2021-03-03T03:32:09;57.67;55.67
55770;HPM;41687;-33.234;-60.334;2021-03-03T03:34:37;20.33;19.33
55770;HPM;41687;-33.234;-60.334;2021-03-03T03:37:05;22.75;21.75
55770;HPM;41687;-33.234;-60.334;2021-03-03T03:39:34;24.75;23.75
55770;HPM;41687;-33.234;-60.334;2021-03-03T03:42:05;26.50;24.75
55770;HPM;41687;-33.234;-60.334;2021-03-03T03:44:37;34.75;32.75
55770;HPM;41687;-33.234;-60.334;2021-03-03T03:47:06;34.25;32.25
55770;HPM;41687;-33.234;-60.334;2021-03-03T03:49:33;31.00;29.00
55770;HPM;41687;-33.234;-60.334;2021-03-03T03:52:00;29.00;27.00
55770;HPM;41687;-33.234;-60.334;2021-03-03T03:54:27;23.33;22.33
55770;HPM;41687;-33.234;-60.334;2021-03-03T03:56:54;24.50;23.50
55770;HPM;41687;-33.234;-60.334;2021-03-03T03:59:21;33.75;31.75
55770;HPM;41687;-33.234;-60.334;2021-03-03T04:01:48;32.00;30.00
55770;HPM;41687;-33.234;-60.334;2021-03-03T04:04:14;25.25;24.00
55770;HPM;41687;-33.234;-60.334;2021-03-03T04:06:41;34.67;32.67
55770;HPM;41687;-33.234;-60.334;2021-03-03T04:09:08;31.25;29.25
55770;HPM;41687;-33.234;-60.334;2021-03-03T04:11:35;31.00;29.00
55770;HPM;41687;-33.234;-60.334;2021-03-03T04:14:03;40.00;38.00
55770;HPM;41687;-33.234;-60.334;2021-03-03T04:16:35;22.25;21.25
55770;HPM;41687;-33.234;-60.334;2021-03-03T04:19:02;29.00;27.00
55770;HPM;41687;-33.234;-60.334;2021-03-03T04:21:29;27.00;25.25
55770;HPM;41687;-33.234;-60.334;2021-03-03T04:23:56;30.50;28.50
55770;HPM;41687;-33.234;-60.334;2021-03-03T04:26:22;41.25;39.25
55770;HPM;41687;-33.234;-60.334;2021-03-03T04:28:49;40.25;38.25
55770;HPM;41687;-33.234;-60.334;2021-03-03T04:31:16;51.50;49.50
55770;HPM;41687;-33.234;-60.334;2021-03-03T04:33:43;37.00;35.00
55770;HPM;41687;-33.234;-60.334;2021-03-03T04:36:11;30.00;28.00
55770;HPM;41687;-33.234;-60.334;2021-03-03T04:38:38;40.50;38.50
55770;HPM;41687;-33.234;-60.334;2021-03-03T04:41:04;46.67;44.67
55770;HPM;41687;-33.234;-60.334;2021-03-03T04:43:31;42.50;40.50
55770;HPM;41687;-33.234;-60.334;2021-03-03T04:45:58;28.75;26.75
55770;HPM;41687;-33.234;-60.334;2021-03-03T04:48:25;41.00;39.00
55770;HPM;41687;-33.234;-60.334;2021-03-03T04:50:52;40.75;38.75
55770;HPM;41687;-33.234;-60.334;2021-03-03T04:53:19;43.25;41.25
55770;HPM;41687;-33.234;-60.334;2021-03-03T04:55:49;40.50;38.50
55770;HPM;41687;-33.234;-60.334;2021-03-03T04:58:16;43.67;41.67
55770;HPM;41687;-33.234;-60.334;2021-03-03T05:00:42;27.25;25.50
55770;HPM;41687;-33.234;-60.334;2021-03-03T05:03:09;28.50;26.50
55770;HPM;41687;-33.234;-60.334;2021-03-03T05:05:36;31.50;29.50
55770;HPM;41687;-33.234;-60.334;2021-03-03T05:08:03;58.25;56.25
55770;HPM;41687;-33.234;-60.334;2021-03-03T05:10:30;41.25;39.25
55770;HPM;41687;-33.234;-60.334;2021-03-03T05:12:57;41.25;39.25
55770;HPM;41687;-33.234;-60.334;2021-03-03T05:15:26;38.75;36.75
55770;HPM;41687;-33.234;-60.334;2021-03-03T05:17:53;24.25;23.25
55770;HPM;41687;-33.234;-60.334;2021-03-03T05:20:20;44.50;42.50
55770;HPM;41687;-33.234;-60.334;2021-03-03T05:22:46;75.25;73.25
55770;HPM;41687;-33.234;-60.334;2021-03-03T05:25:13;86.00;84.00
55770;HPM;41687;-33.234;-60.334;2021-03-03T05:27:40;111.75;109.00
55770;HPM;41687;-33.234;-60.334;2021-03-03T05:30:07;105.67;103.67
55770;HPM;41687;-33.234;-60.334;2021-03-03T05:32:35;79.75;77.75
55770;HPM;41687;-33.234;-60.334;2021-03-03T05:35:02;62.75;60.75
55770;HPM;41687;-33.234;-60.334;2021-03-03T05:37:29;59.75;57.75
