sensor_id;sensor_type;location;lat;lon;timestamp;noise_LAeq;noise_LA_min;noise_LA_max;noise_LA01;noise_LA95
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T02:14:01;38.18;34.69;41.06;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T02:16:31;38.28;34.69;40.71;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T02:19:00;38.40;34.31;41.30;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T02:21:44;38.28;34.69;40.71;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T02:24:22;38.49;35.04;41.14;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T02:26:53;38.40;34.69;41.14;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T02:29:28;38.28;34.69;40.71;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T02:31:57;38.26;33.44;40.89;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T02:34:29;38.22;34.69;40.89;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T02:36:57;38.25;34.69;40.89;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T02:39:26;38.20;33.90;40.89;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T02:41:55;38.15;33.90;40.33;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T02:44:24;38.29;33.90;40.62;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T02:46:53;38.27;33.90;40.62;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T02:49:21;38.30;34.31;40.43;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T02:51:49;38.35;34.31;41.14;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T02:54:16;38.31;34.31;40.80;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T02:56:44;38.19;33.97;40.80;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T02:59:42;38.22;33.90;40.80;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T03:02:13;38.22;34.31;40.80;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T03:04:47;38.30;33.90;40.89;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T03:07:19;38.24;34.69;40.71;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T03:09:49;38.38;34.31;40.89;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T03:12:18;38.28;33.90;41.06;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T03:14:50;38.44;34.69;40.98;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T03:17:20;38.25;32.93;40.71;;
