sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
29092;SDS011;16167;48.768;14.984;2021-03-03T02:35:54;80.85;;;32.45;;
29092;SDS011;16167;48.768;14.984;2021-03-03T02:38:22;91.28;;;38.30;;
29092;SDS011;16167;48.768;14.984;2021-03-03T02:40:53;99.57;;;37.38;;
29092;SDS011;16167;48.768;14.984;2021-03-03T02:43:22;101.15;;;39.33;;
29092;SDS011;16167;48.768;14.984;2021-03-03T02:45:50;89.65;;;39.38;;
29092;SDS011;16167;48.768;14.984;2021-03-03T02:48:17;98.05;;;39.40;;
29092;SDS011;16167;48.768;14.984;2021-03-03T02:50:45;99.10;;;38.33;;
29092;SDS011;16167;48.768;14.984;2021-03-03T02:53:14;97.10;;;37.60;;
29092;SDS011;16167;48.768;14.984;2021-03-03T02:55:42;89.75;;;35.75;;
29092;SDS011;16167;48.768;14.984;2021-03-03T02:58:09;97.20;;;37.50;;
29092;SDS011;16167;48.768;14.984;2021-03-03T03:00:37;90.60;;;37.58;;
29092;SDS011;16167;48.768;14.984;2021-03-03T03:03:10;95.93;;;37.17;;
29092;SDS011;16167;48.768;14.984;2021-03-03T03:05:44;93.55;;;38.65;;
29092;SDS011;16167;48.768;14.984;2021-03-03T03:08:13;89.57;;;38.55;;
29092;SDS011;16167;48.768;14.984;2021-03-03T03:10:43;91.60;;;37.92;;
29092;SDS011;16167;48.768;14.984;2021-03-03T03:13:13;80.53;;;36.78;;
29092;SDS011;16167;48.768;14.984;2021-03-03T03:15:45;86.20;;;36.20;;
29092;SDS011;16167;48.768;14.984;2021-03-03T03:18:16;83.30;;;37.35;;
29092;SDS011;16167;48.768;14.984;2021-03-03T03:20:45;97.25;;;40.08;;
29092;SDS011;16167;48.768;14.984;2021-03-03T03:23:16;94.72;;;39.47;;
29092;SDS011;16167;48.768;14.984;2021-03-03T03:25:46;90.57;;;40.70;;
29092;SDS011;16167;48.768;14.984;2021-03-03T03:28:14;93.82;;;39.20;;
29092;SDS011;16167;48.768;14.984;2021-03-03T03:30:42;91.63;;;39.58;;
29092;SDS011;16167;48.768;14.984;2021-03-03T03:33:12;89.47;;;37.17;;
29092;SDS011;16167;48.768;14.984;2021-03-03T03:35:39;83.18;;;36.88;;
29092;SDS011;16167;48.768;14.984;2021-03-03T03:40:36;82.53;;;34.65;;
29092;SDS011;16167;48.768;14.984;2021-03-03T03:43:04;84.05;;;36.55;;
29092;SDS011;16167;48.768;14.984;2021-03-03T03:45:34;79.55;;;35.65;;
29092;SDS011;16167;48.768;14.984;2021-03-03T03:48:02;87.32;;;37.28;;
29092;SDS011;16167;48.768;14.984;2021-03-03T03:50:32;88.90;;;37.92;;
29092;SDS011;16167;48.768;14.984;2021-03-03T03:53:00;87.35;;;36.00;;
29092;SDS011;16167;48.768;14.984;2021-03-03T03:55:30;96.32;;;39.92;;
29092;SDS011;16167;48.768;14.984;2021-03-03T03:57:58;101.88;;;39.75;;
29092;SDS011;16167;48.768;14.984;2021-03-03T04:02:55;98.75;;;39.63;;
29092;SDS011;16167;48.768;14.984;2021-03-03T04:05:23;95.90;;;37.28;;
29092;SDS011;16167;48.768;14.984;2021-03-03T04:07:52;101.53;;;41.20;;
29092;SDS011;16167;48.768;14.984;2021-03-03T04:10:21;95.80;;;40.10;;
29092;SDS011;16167;48.768;14.984;2021-03-03T04:12:50;103.75;;;40.38;;
