sensor_id;sensor_type;location;lat;lon;timestamp;pressure;altitude;pressure_sealevel;temperature;humidity
3668;BME280;24099;47.102;15.440;2021-03-18T02:37:11;97026.88;;;-1.97;nan
3668;BME280;24099;47.102;15.440;2021-03-18T02:39:51;97030.66;;;-2.00;nan
3668;BME280;24099;47.102;15.440;2021-03-18T02:42:21;97032.81;;;-2.03;nan
3668;BME280;24099;47.102;15.440;2021-03-18T02:44:52;97031.66;;;-2.01;nan
3668;BME280;24099;47.102;15.440;2021-03-18T02:47:24;97027.06;;;-1.91;nan
3668;BME280;24099;47.102;15.440;2021-03-18T02:49:54;97033.63;;;-2.11;nan
3668;BME280;24099;47.102;15.440;2021-03-18T02:52:26;97034.44;;;-2.18;nan
3668;BME280;24099;47.102;15.440;2021-03-18T02:54:58;97033.13;;;-2.06;nan
3668;BME280;24099;47.102;15.440;2021-03-18T02:57:27;97041.06;;;-2.14;nan
3668;BME280;24099;47.102;15.440;2021-03-18T02:59:58;97031.81;;;-2.10;nan
3668;BME280;24099;47.102;15.440;2021-03-18T03:02:29;97039.53;;;-2.25;nan
3668;BME280;24099;47.102;15.440;2021-03-18T03:05:06;97039.53;;;-2.25;nan
3668;BME280;24099;47.102;15.440;2021-03-18T03:07:39;97037.03;;;-2.26;nan
3668;BME280;24099;47.102;15.440;2021-03-18T03:10:09;97042.44;;;-2.36;nan
3668;BME280;24099;47.102;15.440;2021-03-18T03:12:38;97045.56;;;-2.32;nan
3668;BME280;24099;47.102;15.440;2021-03-18T03:15:08;97039.03;;;-2.20;nan
3668;BME280;24099;47.102;15.440;2021-03-18T03:17:37;97045.22;;;-2.37;nan
3668;BME280;24099;47.102;15.440;2021-03-18T03:20:08;97049.38;;;-2.35;nan
3668;BME280;24099;47.102;15.440;2021-03-18T03:22:37;97045.56;;;-2.32;nan
3668;BME280;24099;47.102;15.440;2021-03-18T03:25:08;97043.72;;;-2.40;nan
3668;BME280;24099;47.102;15.440;2021-03-18T03:27:37;97043.78;;;-2.32;nan
3668;BME280;24099;47.102;15.440;2021-03-18T03:30:10;97044.16;;;-2.19;nan
3668;BME280;24099;47.102;15.440;2021-03-18T03:32:42;97050.59;;;-2.21;nan
3668;BME280;24099;47.102;15.440;2021-03-18T03:35:13;97049.50;;;-2.03;nan
3668;BME280;24099;47.102;15.440;2021-03-18T03:37:46;97044.72;;;-1.99;nan
3668;BME280;24099;47.102;15.440;2021-03-18T03:40:18;97046.56;;;-1.92;nan
3668;BME280;24099;47.102;15.440;2021-03-18T03:42:46;97052.69;;;-1.91;nan
3668;BME280;24099;47.102;15.440;2021-03-18T03:45:15;97052.69;;;-1.91;nan
3668;BME280;24099;47.102;15.440;2021-03-18T03:47:43;97052.53;;;-1.74;nan
3668;BME280;24099;47.102;15.440;2021-03-18T03:50:14;97053.84;;;-1.86;nan
3668;BME280;24099;47.102;15.440;2021-03-18T03:52:54;97047.59;;;-1.77;nan
3668;BME280;24099;47.102;15.440;2021-03-18T03:55:33;97056.19;;;-1.67;nan
3668;BME280;24099;47.102;15.440;2021-03-18T03:58:06;97044.09;;;-1.85;nan
3668;BME280;24099;47.102;15.440;2021-03-18T04:00:37;97051.88;;;-1.84;nan
3668;BME280;24099;47.102;15.440;2021-03-18T04:03:08;97052.69;;;-1.83;nan
3668;BME280;24099;47.102;15.440;2021-03-18T04:05:42;97055.34;;;-1.67;nan
3668;BME280;24099;47.102;15.440;2021-03-18T04:08:15;97065.13;;;-1.68;nan
3668;BME280;24099;47.102;15.440;2021-03-18T04:10:44;97057.16;;;-1.76;nan
3668;BME280;24099;47.102;15.440;2021-03-18T04:13:12;97057.38;;;-1.61;nan
3668;BME280;24099;47.102;15.440;2021-03-18T04:15:40;97060.69;;;-1.43;nan
3668;BME280;24099;47.102;15.440;2021-03-18T04:18:10;97063.50;;;-1.45;nan
3668;BME280;24099;47.102;15.440;2021-03-18T04:20:43;97059.34;;;-1.55;nan
3668;BME280;24099;47.102;15.440;2021-03-18T04:23:13;97059.84;;;-1.44;nan
3668;BME280;24099;47.102;15.440;2021-03-18T04:25:42;97063.00;;;-1.32;nan
3668;BME280;24099;47.102;15.440;2021-03-18T04:28:10;97062.84;;;-1.47;nan
3668;BME280;24099;47.102;15.440;2021-03-18T04:30:40;97062.16;;;-1.49;nan
3668;BME280;24099;47.102;15.440;2021-03-18T04:33:12;97071.59;;;-1.38;nan
3668;BME280;24099;47.102;15.440;2021-03-18T04:35:43;97065.16;;;-1.36;nan
3668;BME280;24099;47.102;15.440;2021-03-18T04:38:12;97071.28;;;-1.43;nan
3668;BME280;24099;47.102;15.440;2021-03-18T04:40:41;97073.59;;;-1.32;nan
3668;BME280;24099;47.102;15.440;2021-03-18T04:43:10;97071.59;;;-1.38;nan
