sensor_id;sensor_type;location;lat;lon;timestamp;pressure;altitude;pressure_sealevel;temperature
8937;BMP180;4503;47.810;13.072;2021-03-02T02:44:15;97940.00;;;7.10
8937;BMP180;4503;47.810;13.072;2021-03-02T02:46:43;97937.00;;;7.00
8937;BMP180;4503;47.810;13.072;2021-03-02T02:49:11;97932.00;;;7.00
8937;BMP180;4503;47.810;13.072;2021-03-02T02:51:41;97938.00;;;7.00
8937;BMP180;4503;47.810;13.072;2021-03-02T02:54:08;97934.00;;;6.90
8937;BMP180;4503;47.810;13.072;2021-03-02T02:56:41;97937.00;;;6.90
8937;BMP180;4503;47.810;13.072;2021-03-02T02:59:24;97945.00;;;6.90
8937;BMP180;4503;47.810;13.072;2021-03-02T03:02:02;97935.00;;;6.80
8937;BMP180;4503;47.810;13.072;2021-03-02T03:04:38;97924.00;;;6.80
8937;BMP180;4503;47.810;13.072;2021-03-02T03:07:14;97930.00;;;6.90
8937;BMP180;4503;47.810;13.072;2021-03-02T03:09:43;97933.00;;;6.90
8937;BMP180;4503;47.810;13.072;2021-03-02T03:12:14;97924.00;;;6.90
8937;BMP180;4503;47.810;13.072;2021-03-02T03:15:04;97937.00;;;6.90
8937;BMP180;4503;47.810;13.072;2021-03-02T03:17:38;97935.00;;;6.90
8937;BMP180;4503;47.810;13.072;2021-03-02T03:20:11;97932.00;;;6.90
8937;BMP180;4503;47.810;13.072;2021-03-02T03:22:39;97931.00;;;6.90
8937;BMP180;4503;47.810;13.072;2021-03-02T03:25:08;97943.00;;;6.90
8937;BMP180;4503;47.810;13.072;2021-03-02T03:27:40;97937.00;;;6.90
8937;BMP180;4503;47.810;13.072;2021-03-02T03:30:08;97941.00;;;6.90
8937;BMP180;4503;47.810;13.072;2021-03-02T03:32:38;97934.00;;;6.90
8937;BMP180;4503;47.810;13.072;2021-03-02T03:35:08;97941.00;;;6.90
8937;BMP180;4503;47.810;13.072;2021-03-02T03:37:35;97935.00;;;6.80
8937;BMP180;4503;47.810;13.072;2021-03-02T03:40:00;97949.00;;;6.80
8937;BMP180;4503;47.810;13.072;2021-03-02T03:42:26;97939.00;;;6.80
8937;BMP180;4503;47.810;13.072;2021-03-02T03:44:52;97941.00;;;6.80
8937;BMP180;4503;47.810;13.072;2021-03-02T03:47:18;97945.00;;;6.80
8937;BMP180;4503;47.810;13.072;2021-03-02T03:49:44;97947.00;;;6.80
8937;BMP180;4503;47.810;13.072;2021-03-02T03:52:12;97943.00;;;6.80
8937;BMP180;4503;47.810;13.072;2021-03-02T03:54:40;97941.00;;;6.80
8937;BMP180;4503;47.810;13.072;2021-03-02T03:57:12;97946.00;;;6.80
8937;BMP180;4503;47.810;13.072;2021-03-02T03:59:39;97953.00;;;6.70
8937;BMP180;4503;47.810;13.072;2021-03-02T04:02:07;97952.00;;;6.70
8937;BMP180;4503;47.810;13.072;2021-03-02T04:04:37;97947.00;;;6.70
8937;BMP180;4503;47.810;13.072;2021-03-02T04:07:04;97940.00;;;6.60
8937;BMP180;4503;47.810;13.072;2021-03-02T04:09:32;97949.00;;;6.60
8937;BMP180;4503;47.810;13.072;2021-03-02T04:11:58;97958.00;;;6.60
8937;BMP180;4503;47.810;13.072;2021-03-02T04:14:24;97951.00;;;6.50
8937;BMP180;4503;47.810;13.072;2021-03-02T04:16:50;97942.00;;;6.50
8937;BMP180;4503;47.810;13.072;2021-03-02T04:19:16;97949.00;;;6.40
8937;BMP180;4503;47.810;13.072;2021-03-02T04:21:42;97958.00;;;6.40
8937;BMP180;4503;47.810;13.072;2021-03-02T04:24:08;97968.00;;;6.40
8937;BMP180;4503;47.810;13.072;2021-03-02T04:26:34;97959.00;;;6.30
8937;BMP180;4503;47.810;13.072;2021-03-02T04:29:00;97967.00;;;6.30
8937;BMP180;4503;47.810;13.072;2021-03-02T04:31:25;97958.00;;;6.30
8937;BMP180;4503;47.810;13.072;2021-03-02T04:33:51;97965.00;;;6.30
8937;BMP180;4503;47.810;13.072;2021-03-02T04:36:17;97965.00;;;6.30
8937;BMP180;4503;47.810;13.072;2021-03-02T04:38:43;97965.00;;;6.30
8937;BMP180;4503;47.810;13.072;2021-03-02T04:41:08;97972.00;;;6.30
