sensor_id;sensor_type;location;lat;lon;timestamp;P1;P4;P2;P0;N10;N4;N25;N1;N05;TS
41187;SPS30;26921;46.33852690;13.56213751;2021-03-02T00:00:19;3;;3;;;;;;;
41187;SPS30;26921;46.33852690;13.56213751;2021-03-02T00:05:52;4;;4;;;;;;;
41187;SPS30;26921;46.33852690;13.56213751;2021-03-02T00:10:21;4;;4;;;;;;;
41187;SPS30;26921;46.33852690;13.56213751;2021-03-02T00:15:22;5;;4;;;;;;;
41187;SPS30;26921;46.33852690;13.56213751;2021-03-02T00:20:24;4;;4;;;;;;;
41187;SPS30;26921;46.33852690;13.56213751;2021-03-02T00:25:25;4;;4;;;;;;;
41187;SPS30;26921;46.33852690;13.56213751;2021-03-02T00:31:30;4;;4;;;;;;;
41187;SPS30;26921;46.33852690;13.56213751;2021-03-02T00:37:34;4;;4;;;;;;;
41187;SPS30;26921;46.33852690;13.56213751;2021-03-02T00:42:04;4;;4;;;;;;;
41187;SPS30;26921;46.33852690;13.56213751;2021-03-02T00:45:29;3;;3;;;;;;;
41187;SPS30;26921;46.33852690;13.56213751;2021-03-02T00:50:30;3;;3;;;;;;;
41187;SPS30;26921;46.33852690;13.56213751;2021-03-02T00:55:31;4;;3;;;;;;;
41187;SPS30;26921;46.33852690;13.56213751;2021-03-02T01:00:32;5;;4;;;;;;;
41187;SPS30;26921;46.33852690;13.56213751;2021-03-02T01:07:40;3;;3;;;;;;;
41187;SPS30;26921;46.33852690;13.56213751;2021-03-02T01:11:07;4;;4;;;;;;;
41187;SPS30;26921;46.33852690;13.56213751;2021-03-02T01:15:36;4;;4;;;;;;;
41187;SPS30;26921;46.33852690;13.56213751;2021-03-02T01:21:09;5;;4;;;;;;;
41187;SPS30;26921;46.33852690;13.56213751;2021-03-02T01:26:10;4;;4;;;;;;;
41187;SPS30;26921;46.33852690;13.56213751;2021-03-02T01:30:40;5;;4;;;;;;;
41187;SPS30;26921;46.33852690;13.56213751;2021-03-02T01:35:41;4;;3;;;;;;;
41187;SPS30;26921;46.33852690;13.56213751;2021-03-02T01:41:14;4;;4;;;;;;;
41187;SPS30;26921;46.33852690;13.56213751;2021-03-02T01:45:43;6;;6;;;;;;;
41187;SPS30;26921;46.33852690;13.56213751;2021-03-02T01:51:16;4;;4;;;;;;;
41187;SPS30;26921;46.33852690;13.56213751;2021-03-02T01:55:45;5;;4;;;;;;;
41187;SPS30;26921;46.33852690;13.56213751;2021-03-02T02:00:48;4;;4;;;;;;;
41187;SPS30;26921;46.33852690;13.56213751;2021-03-02T02:05:48;4;;4;;;;;;;
41187;SPS30;26921;46.33852690;13.56213751;2021-03-02T02:10:50;5;;4;;;;;;;
41187;SPS30;26921;46.33852690;13.56213751;2021-03-02T02:16:55;4;;4;;;;;;;
41187;SPS30;26921;46.33852690;13.56213751;2021-03-02T02:20:52;4;;4;;;;;;;
41187;SPS30;26921;46.33852690;13.56213751;2021-03-02T02:25:55;5;;4;;;;;;;
41187;SPS30;26921;46.33852690;13.56213751;2021-03-02T02:31:26;4;;4;;;;;;;
41187;SPS30;26921;46.33852690;13.56213751;2021-03-02T02:35:55;4;;4;;;;;;;
41187;SPS30;26921;46.33852690;13.56213751;2021-03-02T02:40:57;4;;4;;;;;;;
41187;SPS30;26921;46.33852690;13.56213751;2021-03-02T02:45:57;8;;7;;;;;;;
41187;SPS30;26921;46.33852690;13.56213751;2021-03-02T02:51:30;6;;5;;;;;;;
41187;SPS30;26921;46.33852690;13.56213751;2021-03-02T02:56:31;5;;5;;;;;;;
