sensor_id;sensor_type;location;lat;lon;timestamp;P1;P2;P0
31330;PMS5003;34067;39.548;-76.088;2021-03-02T00:01:59;3;3;
31330;PMS5003;34067;39.548;-76.088;2021-03-02T00:04:28;4;3;
31330;PMS5003;34067;39.548;-76.088;2021-03-02T00:06:57;2;2;
31330;PMS5003;34067;39.548;-76.088;2021-03-02T00:09:25;2;2;
31330;PMS5003;34067;39.548;-76.088;2021-03-02T00:11:53;4;4;
31330;PMS5003;34067;39.548;-76.088;2021-03-02T00:14:22;4;3;
31330;PMS5003;34067;39.548;-76.088;2021-03-02T00:16:51;3;3;
31330;PMS5003;34067;39.548;-76.088;2021-03-02T00:19:25;4;3;
31330;PMS5003;34067;39.548;-76.088;2021-03-02T00:22:03;4;2;
31330;PMS5003;34067;39.548;-76.088;2021-03-02T00:24:40;2;2;
31330;PMS5003;34067;39.548;-76.088;2021-03-02T00:27:11;3;3;
31330;PMS5003;34067;39.548;-76.088;2021-03-02T00:29:43;3;3;
31330;PMS5003;34067;39.548;-76.088;2021-03-02T00:32:12;3;3;
31330;PMS5003;34067;39.548;-76.088;2021-03-02T00:34:45;2;2;
31330;PMS5003;34067;39.548;-76.088;2021-03-02T00:37:13;2;2;
31330;PMS5003;34067;39.548;-76.088;2021-03-02T00:39:41;2;2;
31330;PMS5003;34067;39.548;-76.088;2021-03-02T00:42:10;3;3;
31330;PMS5003;34067;39.548;-76.088;2021-03-02T00:44:38;2;2;
31330;PMS5003;34067;39.548;-76.088;2021-03-02T00:47:06;3;3;
31330;PMS5003;34067;39.548;-76.088;2021-03-02T00:49:35;4;3;
31330;PMS5003;34067;39.548;-76.088;2021-03-02T00:52:03;4;3;
31330;PMS5003;34067;39.548;-76.088;2021-03-02T00:54:32;5;4;
31330;PMS5003;34067;39.548;-76.088;2021-03-02T00:56:59;3;2;
31330;PMS5003;34067;39.548;-76.088;2021-03-02T00:59:27;2;2;
31330;PMS5003;34067;39.548;-76.088;2021-03-02T01:01:55;3;3;
31330;PMS5003;34067;39.548;-76.088;2021-03-02T01:04:23;3;2;
31330;PMS5003;34067;39.548;-76.088;2021-03-02T01:06:50;3;3;
31330;PMS5003;34067;39.548;-76.088;2021-03-02T01:09:18;3;3;
31330;PMS5003;34067;39.548;-76.088;2021-03-02T01:11:45;3;3;
31330;PMS5003;34067;39.548;-76.088;2021-03-02T01:14:14;5;4;
31330;PMS5003;34067;39.548;-76.088;2021-03-02T01:16:42;4;3;
31330;PMS5003;34067;39.548;-76.088;2021-03-02T01:19:10;4;4;
31330;PMS5003;34067;39.548;-76.088;2021-03-02T01:21:38;5;5;
31330;PMS5003;34067;39.548;-76.088;2021-03-02T01:24:06;5;4;
31330;PMS5003;34067;39.548;-76.088;2021-03-02T01:26:37;3;3;
31330;PMS5003;34067;39.548;-76.088;2021-03-02T01:29:05;3;3;
31330;PMS5003;34067;39.548;-76.088;2021-03-02T01:31:32;1;1;
31330;PMS5003;34067;39.548;-76.088;2021-03-02T01:34:01;3;3;
31330;PMS5003;34067;39.548;-76.088;2021-03-02T01:36:29;6;6;
31330;PMS5003;34067;39.548;-76.088;2021-03-02T01:38:57;12;12;
31330;PMS5003;34067;39.548;-76.088;2021-03-02T01:41:26;11;11;
